PRO ID 	Category 	

PR:O43660-1	organism-sequence
PR:O43660	organism-gene
PR:O43615-1	organism-sequence
PR:O43615	organism-gene
PR:O43513-1	organism-sequence
PR:O43513	organism-gene
PR:O43395-3	organism-sequence
PR:O43395-1	organism-sequence
PR:O43395	organism-gene
PR:O43292-2	organism-sequence
PR:O43292-1	organism-sequence
PR:O43292	organism-gene
PR:O43242-2	organism-sequence

PR:O94906-1	organism-sequence
PR:O94906	organism-gene
PR:O76071-1	organism-sequence
PR:O76071	organism-gene
PR:O75821-1	organism-sequence
PR:O75821	organism-gene
PR:O75794-1	organism-sequence
PR:O75794	organism-gene
PR:O75683	organism-gene
PR:O75586-3	organism-sequence
PR:O75586-2	organism-sequence
PR:O75586-1	organism-sequence
PR:O75586	organism-gene
PR:O75575-4	organism-sequence
PR:O75575-3	organism-sequence
PR:O75575-2	organism-sequence
PR:O75575-1	organism-sequence
PR:O75575	organism-gene
PR:O75419-3	organism-sequence
PR:O75419-2	organism-sequence
PR:O75419-1	organism-sequence
PR:O75419	organism-gene
PR:O75312-1	organism-sequence
PR:O75312	organism-gene
PR:O75027-3	organism-sequence
PR:O75027-2	organism-sequence
PR:O75027-1	organism-sequence

PR:P08397-2	organism-sequence
PR:P08397-1	organism-sequence
PR:P08397	organism-gene
PR:P08240-2	organism-sequence
PR:P08240-1	organism-sequence
PR:P08240	organism-gene
PR:P06132-1	organism-sequence
PR:P06132	organism-gene
PR:P05423-1	organism-sequence
PR:P05423	organism-gene
PR:P05388-2	organism-sequence
PR:P05388-1	organism-sequence
PR:P05388	organism-gene
PR:P05198-1	organism-sequence
PR:P05198	organism-gene
PR:P04843	organism-gene
PR:O95801	organism-gene
PR:O95707	organism-gene
PR:O95602	organism-gene
PR:O95478-1	organism-sequence
PR:O95478	organism-gene
PR:O95427	organism-gene
PR:O95394-4	organism-sequence
PR:O95394-3	organism-sequence
PR:O95394-1	organism-sequence
PR:O95394	organism-gene
PR:O95391	organism-gene
PR:O94906-2	organism-sequence

PR:P14868-1	organism-sequence
PR:P14868	organism-gene
PR:P14324-2	organism-sequence
PR:P14324-1	organism-sequence
PR:P14324	organism-gene
PR:P13984-1	organism-sequence
PR:P13984	organism-gene
PR:P13716-2	organism-sequence
PR:P13716-1	organism-sequence
PR:P13716	organism-gene
PR:P12004	organism-gene
PR:P10809-2	organism-sequence
PR:P10809-1	organism-sequence
PR:P10809	organism-gene
PR:P10746-1	organism-sequence
PR:P10746	organism-gene
PR:P0DI81-3	organism-sequence
PR:P0DI81-2	organism-sequence
PR:P0DI81-1	organism-sequence
PR:P0DI81	organism-gene
PR:P08621-4	organism-sequence
PR:P08621-3	organism-sequence
PR:P08621-2	organism-sequence
PR:P08621-1	organism-sequence
PR:P08621	organism-gene
PR:P08397-4	organism-sequence
PR:P08397-3	organism-sequence

PR:P22570-5	organism-sequence
PR:P22570-4	organism-sequence
PR:P22570-3	organism-sequence
PR:P22570-2	organism-sequence
PR:P22570-1	organism-sequence
PR:P22570	organism-gene
PR:P20618	organism-gene
PR:P19447-1	organism-sequence
PR:P19447	organism-gene
PR:P19388-1	organism-sequence
PR:P19388	organism-gene
PR:P19387	organism-gene
PR:P18858-3	organism-sequence
PR:P18858-2	organism-sequence
PR:P18858-1	organism-sequence
PR:P18858	organism-gene
PR:P18754-2	organism-sequence
PR:P18754-1	organism-sequence
PR:P18754	organism-gene
PR:P18074-2	organism-sequence
PR:P18074-1	organism-sequence
PR:P18074	organism-gene
PR:P17980-1	organism-sequence
PR:P17980	organism-gene
PR:P15104-1	organism-sequence
PR:P15104	organism-gene
PR:P14868-2	organism-sequence

PR:P25786-1	organism-sequence
